actorID,actorName,birthYear,nationality
276912,Eric Hester,1980,Finland
633830,Sandra Ochoa,1927,Belgium
969393,Samantha Mathis,1928,United Kingdom
322470,Amanda Roberts,1982,Iceland
363156,Daniel Wilson,1922,Mexico
407438,David Andrews,1909,Sweden
133546,Thomas Goodwin,2012,Spain
415264,Andrea Fitzgerald,1987,Finland
124334,Jackie Howell,1919,Switzerland
599610,Bruce Carter,1978,Finland
755538,Kimberly Tucker,1923,Venezuela
921685,Oscar Simpson,1916,Mexico
637829,Tammy Shannon,1974,Norway
273644,Jason Williams,1933,Ireland
626695,Leonard Wallace,2001,Ireland
121113,Eric Martin,2013,Iceland
263577,Kyle Poole,1978,Belgium
160455,Stephanie Reeves,1918,Austria
231596,James Gonzalez,2003,Denmark
510539,Eileen Aguilar,1963,France
712830,Rodney Garcia,2013,Germany
138793,John Wright,1982,Norway
758592,Michael Wilson,1990,Denmark
452406,Marc Lucas,1953,Switzerland
264368,Mr. Samuel Macdonald,1902,Norway
557194,Kristin Thompson,1958,Cuba
678681,Jacob Henry,1987,Finland
319563,Joseph Davis,1925,Cuba
793823,Elizabeth Davis,1952,United States
462984,Sandra Clark,1979,Austria
967948,Marc Stevens,1903,Ireland
803940,Laurie Stevens,1973,Italy
801300,Tyrone Hunt,1977,France
801335,Joshua Little,1968,Italy
715602,Joseph Brown,1959,Venezuela
688620,John Burton,1992,France
848081,Claire Ortiz,1987,Iceland
599362,Ashley Cunningham,1987,Switzerland
203079,Sharon Forbes,1990,Italy
969465,Jeffrey Wolf,1910,Netherlands
787456,Amy Clark,2005,Portugal
321914,John Mullen,1900,Denmark
651865,Ashley Holt,1926,United States
991546,Whitney Gaines,1941,Ecuador
615231,Joshua Hughes,1955,Cuba
105891,Linda Dominguez,1941,Austria
226309,Amber Morris,1934,France
249680,Thomas Anderson,1984,Iceland
161578,Christopher Kemp,1981,United Kingdom
456774,Shelby Morales,1966,Denmark
339341,Steven Bullock,2005,Ireland
252594,Jordan Lawrence,1956,Norway
559460,Hannah Nichols,1937,France
644646,Brian Smith,1960,Colombia
276838,Jessica Roberson,1900,Venezuela
412010,Brian Whitehead,2003,Norway
195504,Linda Sharp,1904,Cuba
318939,Nicholas Washington,2001,Germany
615191,Jeffrey Stein,1973,Ireland
702173,Mary Nguyen,1962,Mexico
832552,Matthew Moss,1974,Netherlands
839757,Jeffrey Buchanan,1924,Netherlands
292397,Amber Martin,2016,Switzerland
240120,Mrs. Toni Lynch,1912,Switzerland
618189,Albert Schroeder,1963,Denmark
883472,Christina Moore,1981,Belgium
293003,Joseph Clark,1936,Belgium
108559,Christopher Davis,1907,Norway
498519,Vanessa Stone,1949,France
374263,Justin Miles,2012,Ireland
456248,Gina Johnson,1905,Switzerland
969697,Steven Wiley,1902,Netherlands
137148,Christopher Ward,1930,Germany
543293,Jon Smith,1925,Portugal
594394,Dennis Williams,1982,Mexico
841939,Antonio Johnson,1953,Portugal
718061,Lonnie Oliver,1937,Colombia
562251,Brett Simmons,1990,Finland
493980,Tanya Bowman,1995,Denmark
501563,Raymond Durham,2001,United Kingdom
353559,Gina Casey,1927,Sweden
413996,James Ayala,1915,Venezuela
683125,Courtney Oliver,1907,Ireland
863568,Emma Gillespie,1958,Sweden
249783,Valerie Hall,1906,Spain
222545,Frank Jackson,1935,Switzerland
300690,Catherine Martinez,1990,United States
164304,Sarah Simmons,1914,Italy
403897,Christopher Alvarado,1973,Portugal
955554,James Allen,1944,Finland
992628,Christopher Lewis,1995,Mexico
326437,Charles Snyder,1923,Finland
809267,Laura Taylor,1911,Denmark
388974,Eric Powell,1967,Cuba
709210,Michelle Davis,1916,Portugal
941752,Nicholas Sutton,1989,Ireland
162990,Eric Carpenter,1943,United Kingdom
783644,Mary Gonzalez,1969,United States
416311,Guy Burch,1989,Venezuela
974727,Paula Morgan,1956,Belgium
302175,Nathan Dalton,1976,Sweden
483912,Justin Pierce,1956,Switzerland
198726,Nicole Spencer,1918,Venezuela
228499,Carolyn Johnson,1998,Netherlands
686644,Robert Crawford,1988,Finland
667721,Jose Snyder,1914,Sweden
232052,Devin Hudson,1962,Portugal
660294,Toni Freeman,1963,Portugal
623295,Kevin Carroll,1946,Mexico
512014,Andrew Dickerson,1910,United States
245655,Michael Rosario,1925,Ecuador
528841,Scott Hughes,1953,Cuba
645991,Emily Orr,1960,Belgium
581384,Bianca Green,1906,Ecuador
372495,Nicole Gonzales,1980,France
902280,Susan Mccullough,1900,France
330055,Angela Miles,1941,Italy
353778,Marie Green,1958,Colombia
757652,Randall Williams,1937,Ecuador
153473,Gabriella Houston,2005,Switzerland
325588,Kari Zimmerman,1930,Switzerland
870542,Marcus Berry,1922,United States
761353,Sonia Martinez,1963,Norway
938199,Douglas Campbell,2015,Portugal
239966,Amy Ferguson,1923,Ecuador
428086,Kyle Fischer,1944,France
808933,Ashley Marshall,1921,Netherlands
353606,Sean Diaz,1931,Mexico
314200,Kimberly Davis,1929,Denmark
721773,Ana Wallace,1936,Iceland
961010,John Lewis,1999,Norway
506662,Margaret Alexander,1946,Switzerland
677021,John Combs,1971,Germany
714643,Michael Hancock,1932,Austria
508605,Alexander Townsend,1964,Mexico
711160,Alexander Davis,1932,Cuba
403618,Cathy Thomas,1999,United Kingdom
639046,Sherry Liu,1919,Canada
621036,Theresa Perez,2005,Norway
723439,Mark Valdez,1999,Ireland
498840,Samuel Morgan,1934,Canada
214330,Laura Cole,1988,Cuba
171368,Nicole Good,2006,Italy
805816,Amanda Miller,1906,Finland
952226,Robert Smith,1991,Germany
867260,Katelyn Carroll,1974,Spain
383520,Austin Martinez,1904,Spain
951090,Diane Bates,1978,United States
918316,Gwendolyn Rogers,1914,United States
310808,Tyler Taylor,2014,Venezuela
538966,Todd Graves,1956,Denmark
741187,Holly Cox,1901,Netherlands
485390,Jason Burgess,2007,Austria
911781,Angela Webb,1907,United States
849473,Tammy Cox,2012,Cuba
708738,Kimberly Wheeler,1905,Netherlands
769804,William Jones,1905,Sweden
536579,Nicole Martin,1987,Italy
947612,Jennifer Duncan,1998,Finland
760362,Melvin Fry,2003,Austria
896838,Mr. Benjamin Smith,1913,Switzerland
243178,Shane Lewis,1918,Ireland
705023,Howard Brennan,1955,Portugal
111088,Lindsey Contreras,1951,Austria
889704,Nicolas Armstrong,1986,Spain
677979,Susan Robinson DVM,1947,Switzerland
841545,Evan Henderson,1985,Germany
252970,Stephen Nguyen,1945,Denmark
108739,Elizabeth Jenkins,1944,United States
286891,Christopher Haley,1940,Switzerland
162262,Allison Gutierrez,1996,United States
952701,George Dunn,1987,Finland
949537,Janet Nichols,1981,Cuba
976264,Alicia Wells,1976,Netherlands
599155,Jacob Jones,1972,Netherlands
338655,Jennifer Bautista,1959,Netherlands
617379,Zachary Trevino,1909,Germany
201986,Michelle Miller,1939,Canada
209838,Kelsey Ellison,1977,Venezuela
594619,Lucas Williams,1990,Venezuela
808653,Bruce Neal,1969,Iceland
765200,Ashley Cook,1980,Cuba
241202,Noah Daniels,1993,Switzerland
907571,Carlos Murray,1953,Ireland
538143,Joe Daniels,1945,Colombia
906933,Alyssa Williams,2003,Sweden
919217,Larry Peters,1962,Finland
157681,Kelly Ford,2011,Mexico
238734,Erika Allen,1995,Spain
538309,Dawn Rios,1912,Norway
232825,Thomas Griffith,1950,Colombia
405613,James King,1941,Ecuador
893225,Sergio Sutton,2011,Norway
252227,Michael Ford,1933,Colombia
774364,John Russo,1926,Ireland
190461,Olivia Huang,1918,Portugal
176035,Alexis Wilson,2013,Finland
696323,Karen Phillips,2008,Ireland
137472,Heidi Wallace,1958,Belgium
134011,Dr. Mary Ferguson PhD,1903,Netherlands
358526,Jackie Torres,1906,Switzerland
198770,Dustin Horne,1907,Denmark
634100,Robert English,1933,Portugal
759622,Jeff Brown,1921,Netherlands
478848,Phillip Kerr,1936,Switzerland
921626,Melinda Flores,1909,Spain
146065,Adam Harris,1978,Iceland
341852,Lauren Moreno,1936,Ireland
585916,Melissa Gonzalez,2000,Italy
798575,Diane Waller,2006,Mexico
523216,Kendra Miller,2007,United States
779882,Jamie Brown,1901,Colombia
271698,Angela Mason,1952,Italy
568089,Jennifer Goodman,1901,Cuba
420584,Robert Hall,1957,United Kingdom
558208,Amanda Jones,2007,Venezuela
508813,John Wilson,1923,Venezuela
958377,Daniel Turner,2013,Canada
209132,Ryan Young,1973,France
280527,David Gardner,2006,Mexico
666749,Antonio Lambert,2006,United States
469839,Jason Day,1942,France
116380,Rhonda Figueroa,1926,United Kingdom
444130,Holly Norris,1933,Finland
546313,Megan Cole,1981,Italy
340733,Kyle Price,1969,Iceland
960228,Jeffery Orr,1905,Spain
675464,Jamie Mendoza,1963,United States
795927,Juan Oneal,1952,Iceland
698880,Mary Williamson,1905,Germany
251661,Rachel Morris,2008,Austria
291145,Ryan Evans,1956,Sweden
686731,Jacob Ward,1981,Canada
311985,Daniel Mitchell,1949,Denmark
414301,Lauren Carey,1952,Austria
555545,Joshua Knight,1970,Sweden
707076,Mrs. Laura Donovan,1911,Netherlands
224598,Richard Vargas,1983,Canada
771126,Daniel Kemp,1934,Colombia
440170,Lisa Weaver,1940,France
283868,Angela Marshall,1999,Denmark
456751,Phyllis Russell,1910,Denmark
969829,Amanda Stein,1957,Canada
742747,James Hernandez,1928,Netherlands
584767,Christopher Branch,1913,Iceland
811677,Melanie Melendez,1926,Finland
285493,Amber Fernandez,1901,Portugal
654489,Angela Anderson,1942,Denmark
371869,Vanessa Cole,1903,Norway
996141,Evelyn Lawson,2007,France
758740,Kenneth Martinez,1962,United States
380671,Charles Henderson,1979,Mexico
875497,Justin Brown,1992,France
695535,Ashley Anderson,1945,United States
242701,Maria Saunders,1978,Sweden
556420,Lucas Ibarra,1925,Germany
819718,Kimberly Brown,1942,Netherlands
673184,Adam Myers,1974,Mexico
850677,Jonathan Carr,2004,Germany
911273,Kelsey Ibarra,1941,Portugal
321581,Stephanie Wilkerson,1939,Italy
194922,Steven Johnson,1921,Belgium
927402,Timothy Kaiser,1958,Italy
181355,Gregory Reynolds,2009,Denmark
320942,Andrew Mclaughlin,1933,Ecuador
751358,Jacob Davis,1926,Iceland
735307,Andre Manning,1979,Norway
786244,Tanya Hutchinson,1969,Cuba
893453,Joseph Rose,1941,Mexico
378399,Whitney Alvarado,1905,Ecuador
717009,Mark Dean,1985,Germany
573548,Jennifer Kelly,1987,Iceland
217866,Sharon Mccarthy,1943,Mexico
865922,Mark Morales,1938,Colombia
667112,Frank Torres,1903,Italy
207688,Brianna Brown,1960,Italy
223510,Terry Wilson,1958,Mexico
821946,Joseph Mcgee,1956,Iceland
634582,Anthony Phillips,1990,Portugal
532838,Dorothy Martinez,2007,France
878814,Daniel Miller,2007,Iceland
930920,Todd Hull,1902,Ecuador
498121,Cheryl Holmes,1993,Spain
418614,Madison Lee,1921,Iceland
156355,Andrea Curry,1944,Spain
466340,Shirley Schneider PhD,1986,Colombia
510522,Sean Gonzalez,1959,Mexico
105207,Michael Byrd,1945,Spain
855985,Arthur Mckee,1916,United Kingdom
834703,Kelly Joyce,1943,Belgium
471581,Manuel Mills,1977,Germany
863681,Susan Hill,1995,Sweden
105668,Stephen Combs,1983,Norway
375680,Joshua Lewis,1979,Italy
354283,Brittany Jones,1981,Finland
360622,Rebecca Allen,1942,Iceland
